interface,pri_ip,sec_ip,description
Eth1/1/1,10.6.201.1,10.106.201.1,CCU 17
Eth1/1/2,10.6.201.5,10.106.201.5,CCU 18
Eth1/1/3,10.6.201.9,10.106.201.9,CCU 19
Eth1/1/4,10.6.201.13,10.106.201.13,CCU 20
Eth1/2/1,10.6.202.1,10.106.202.1,CCU 21
Eth1/2/2,10.6.202.5,10.106.202.5,CCU 22
Eth1/2/3,10.6.202.9,10.106.202.9,CCU 23
Eth1/2/4,10.6.202.13,10.106.202.13,CCU 24
Eth1/3/1,10.6.203.1,10.106.203.1,CCU 25
Eth1/3/2,10.6.203.5,10.106.203.5,CCU 26
Eth1/3/3,10.6.203.9,10.106.203.9,CCU 27
Eth1/3/4,10.6.203.13,10.106.203.13,CCU 28
Eth1/4/1,10.6.204.1,10.106.204.1,CCU 29
Eth1/4/2,10.6.204.5,10.106.204.5,CCU 30
Eth1/4/3,10.6.204.9,10.106.204.9,CCU 31
Eth1/4/4,10.6.204.13,10.106.204.13,CCU 32
Eth1/5/1,10.6.205.1,10.106.205.1,CCU 33
Eth1/5/2,10.6.205.5,10.106.205.5,CCU 34
Eth1/5/3,10.6.205.9,10.106.205.9,CCU 35
Eth1/5/4,10.6.205.13,10.106.205.13,CCU 36
Eth1/6/1,10.6.206.1,10.106.206.1,PWS4500-1#1
Eth1/6/2,10.6.206.5,10.106.206.5,PWS4500-1#2
Eth1/6/3,10.6.206.9,10.106.206.9,PWS4500-1#3
Eth1/6/4,10.6.206.13,10.106.206.13,PWS4500-1#4
Eth1/7/1,10.6.207.1,10.106.207.1,PWS4500-2#1
Eth1/7/2,10.6.207.5,10.106.207.5,PWS4500-2#2
Eth1/7/3,10.6.207.9,10.106.207.9,PWS4500-2#3
Eth1/7/4,10.6.207.13,10.106.207.13,PWS4500-2#4
Eth1/8/1,10.6.208.1,10.106.208.1,PWS4500-3#1
Eth1/8/2,10.6.208.5,10.106.208.5,PWS4500-3#2
Eth1/8/3,10.6.208.9,10.106.208.9,PWS4500-3#3
Eth1/8/4,10.6.208.13,10.106.208.13,PWS4500-3#4
Eth1/9/1,10.6.209.1,10.106.209.1,HorizoN 1
Eth1/9/2,10.6.209.5,10.106.209.5,HorizoN 1
Eth1/9/3,10.6.209.9,10.106.209.9,HorizoN 1
Eth1/9/4,10.6.209.13,10.106.209.13,HorizoN 1
Eth1/10/1,10.6.210.1,10.106.210.1,HorizoN 2
Eth1/10/2,10.6.210.5,10.106.210.5,HorizoN 2
Eth1/10/3,10.6.210.9,10.106.210.9,HorizoN 2
Eth1/10/4,10.6.210.13,10.106.210.13,HorizoN 2
Eth1/11/1,10.6.211.1,10.106.211.1,HorizoN 3
Eth1/11/2,10.6.211.5,10.106.211.5,HorizoN 3
Eth1/11/3,10.6.211.9,10.106.211.9,HorizoN 3
Eth1/11/4,10.6.211.13,10.106.211.13,HorizoN 3
Eth1/12/1,10.6.212.1,10.106.212.1,HorizoN 4
Eth1/12/2,10.6.212.5,10.106.212.5,HorizoN 4
Eth1/12/3,10.6.212.9,10.106.212.9,HorizoN 4
Eth1/12/4,10.6.212.13,10.106.212.13,HorizoN 4
Eth1/13/1,10.6.213.1,10.106.213.1,VideoIPath 3
Eth1/13/2,10.6.213.5,10.106.213.5,Firewall
Eth1/13/3,10.6.213.9,10.106.213.9,
Eth1/13/4,10.6.213.13,10.106.213.13,
Eth1/14,,,
Eth1/15,,,
Eth1/16,,,
Eth1/17,,,
Eth1/18,,,
Eth1/19,,,
Eth1/20,,,
Eth1/21,,,
Eth1/22,,,
Eth1/23,,,
Eth1/24,,,
Eth1/25,,,
Eth1/26,,,
Eth1/27,10.6.100.122,10.106.100.122,eMerge Port 31
Eth1/28,10.6.100.126,10.106.100.126,eMerge Port 32
Eth1/29,10.6.56.2,10.106.56.2,Spine Port 56
Eth1/30,10.6.57.2,10.106.57.2,Spine Port 57
Eth1/31,10.6.58.2,10.106.58.2,Spine Port 58
Eth1/32,10.6.59.2,10.106.59.2,Spine Port 59
Eth1/33,10.6.60.2,10.106.60.2,Spine Port 60
Eth1/34,10.6.61.2,10.106.61.2,Spine Port 61
Eth1/35,10.6.62.2,10.106.62.2,Spine Port 62
Eth1/36,10.6.63.2,10.106.63.2,Spine Port 63
