interface,pri_ip,sec_ip,description
Eth1/1,10.6.1.1,10.106.1.1,SPG9000 M
Eth1/2,10.6.2.1,10.106.2.1,SPG9000 B
Eth1/3,10.6.3.1,10.106.3.1,Meinberg
Eth1/4,,,
Eth1/5,10.6.5.1,10.106.5.1,Neuron 1-1
Eth1/6,10.6.6.1,10.106.6.1,Neuron 1-2
Eth1/7,10.6.7.1,10.106.7.1,Neuron 2-1
Eth1/8,10.6.8.1,10.106.8.1,Neuron 2-2
Eth1/9,10.6.9.1,10.106.9.1,Neuron 3-1
Eth1/10,10.6.10.1,10.106.10.1,Neuron 3-2
Eth1/11,10.6.11.1,10.106.11.1,Neuron 4-1
Eth1/12,10.6.12.1,10.106.12.1,Neuron 4-2
Eth1/13,10.6.13.1,10.106.13.1,Neuron 5-1
Eth1/14,10.6.14.1,10.106.14.1,Neuron 5-2
Eth1/15,10.6.15.1,10.106.15.1,Neuron 6-1
Eth1/16,10.6.16.1,10.106.16.1,Neuron 6-2
Eth1/17,10.6.17.1,10.106.17.1,Neuron 7-1
Eth1/18,10.6.18.1,10.106.18.1,Neuron 7-2
Eth1/19,10.6.19.1,10.106.19.1,Neuron 8-1
Eth1/20,10.6.20.1,10.106.20.1,Neuron 8-2
Eth1/21,10.6.21.1,10.106.21.1,Evertz-1
Eth1/22,10.6.22.1,10.106.22.1,Evertz-2
Eth1/23,10.6.23.1,10.106.23.1,Evertz-3
Eth1/24,10.6.24.1,10.106.24.1,Evertz-4
Eth1/25,10.6.25.1,10.106.25.1,Evertz-5
Eth1/26,,,
Eth1/27,,,
Eth1/28,,,
Eth1/29,10.6.29.1,10.106.29.1,Manifold-1
Eth1/30,10.6.30.1,10.106.30.1,Manifold-2
Eth1/31,10.6.31.1,10.106.31.1,Manifold-3
Eth1/32,10.6.32.1,10.106.32.1,Manifold-4
Eth1/33,10.6.33.1,10.106.33.1,CXP 100G-1
Eth1/34,10.6.34.1,10.106.34.1,CXP 100G-2
Eth1/35,10.6.35.1,10.106.35.1,CXP 100G-3
Eth1/36,10.6.36.1,10.106.36.1,CXP 100G-4
Eth1/37,,,
Eth1/38,,,
Eth1/39,,,
Eth1/40,,,
Eth1/41,10.6.100.90,10.106.100.90,eMerge Port 23
Eth1/42,10.6.100.94,10.106.100.94,eMerge Port 24
Eth1/43,10.6.100.98,10.106.100.98,eMerge Port 25
Eth1/44,10.6.100.102,10.106.100.102,eMerge Port 26
Eth1/45,10.6.100.106,10.106.100.106,eMerge Port 27
Eth1/46,10.6.100.110,10.106.100.110,eMerge Port 28
Eth1/47,10.6.47.1,10.106.47.1,Leaf1 Port 28
Eth1/48,10.6.48.1,10.106.48.1,Leaf1 Port 29
Eth1/49,10.6.49.1,10.106.49.1,Leaf1 Port 30
Eth1/50,10.6.50.1,10.106.50.1,Leaf1 Port 31
Eth1/51,10.6.51.1,10.106.51.1,Leaf1 Port 32
Eth1/52,10.6.52.1,10.106.52.1,Leaf1 Port 33
Eth1/53,10.6.53.1,10.106.53.1,Leaf1 Port 34
Eth1/54,10.6.54.1,10.106.54.1,Leaf1 Port 35
Eth1/55,10.6.55.1,10.106.55.1,Leaf1 Port 36
Eth1/56,10.6.56.1,10.106.56.1,Leaf2 Port 29
Eth1/57,10.6.57.1,10.106.57.1,Leaf2 Port 30
Eth1/58,10.6.58.1,10.106.58.1,Leaf2 Port 31
Eth1/59,10.6.59.1,10.106.59.1,Leaf2 Port 32
Eth1/60,10.6.60.1,10.106.60.1,Leaf2 Port 33
Eth1/61,10.6.61.1,10.106.61.1,Leaf2 Port 34
Eth1/62,10.6.62.1,10.106.62.1,Leaf2 Port 35
Eth1/63,10.6.63.1,10.106.63.1,Leaf2 Port 36
Eth1/64,10.6.64.1,10.106.64.1,Leaf3 Port 53
